,neighborhood,incident,nr_of_inspections_within_timeline,nr_of_inspections_with_observation,nr_of_inspections_without_observation
176,Gein Noordoost,6,0,0,0
177,Gein Noordwest,8,19,12,7
178,Gein Zuidoost,7,0,0,0
179,Gein Zuidwest,3,9,8,1
180,Gelderlandpleinbuurt,8,14,5,9
181,Gerard Doubuurt,11,22,2,20
182,Geuzenhofbuurt,3,0,0,0
183,Gibraltarbuurt,21,10,4,6
184,Gooise Kant,0,0,0,0
185,Gouden Bocht,3,13,10,3
186,Groenmarktkadebuurt,1,8,7,1
187,Grunder/Koningshoef,2,6,4,2
188,Haarlemmerbuurt Oost,3,52,18,34
189,Haarlemmerbuurt West,6,17,12,5
190,Hakfort/Huigenbos,9,7,3,4
191,Harmoniehofbuurt,0,0,0,0
192,Haveneiland Noord,6,0,0,0
193,Haveneiland Noordoost,12,0,0,0
194,Haveneiland Noordwest,18,0,0,0
195,Haveneiland Oost,11,0,0,0
196,Haveneiland Zuidwest/Rieteiland West,1,0,0,0
197,Helmersbuurt Oost,7,57,24,33
198,Hemelrijk,2,61,23,38
199,Hemonybuurt,4,52,24,28
200,Hercules Seghersbuurt,7,4,1,3
201,Herensingelkwartier,0,0,0,0
202,Het Funen,1,7,2,5
203,Hiltonbuurt,0,50,12,38
204,Hoge Dijk,0,3,3,0
205,Hogewey Midden,0,0,0,0
206,Hogewey Noord,0,0,0,0
207,Hogewey Zuid,0,0,0,0
208,Holendrecht Oost,0,8,3,5
209,Holendrecht West,12,25,16,9
210,Holysloot,0,0,0,0
211,Hondecoeterbuurt,4,49,23,26
212,Hoofdcentrum Zuidoost,1,4,1,3
213,Hoptille,7,2,0,2
214,Houthavens Oost,3,0,0,0
215,Houthavens West,1,0,0,0
216,Huntum,0,12,7,5
217,IJplein e.o.,8,13,6,7
218,IJsbaanpad e.o.,0,11,7,4
219,IJselbuurt Oost,3,6,1,5
220,IJselbuurt West,2,27,7,20
221,IJsselbuurt Oost,3,6,1,5
222,IJsselbuurt West,2,27,7,20
223,Jacob Geelbuurt,11,0,0,0
224,Jacques Veldmanbuurt,12,0,0,0
225,Jacques Veltmanbuurt,12,0,0,0
226,Jan Maijenbuurt,7,2,0,2
227,Java-eiland,6,0,0,0
228,Jeugdland,2,11,0,11
229,Johan Jongkindbuurt,1,0,0,0
230,Johannnes Vermeerbuurt,6,52,15,37
231,John Franklinbuurt,7,13,6,7
232,Julianapark,0,0,0,0
233,K-buurt Midden,9,1,1,0
234,K-buurt Zuidoost,0,0,0,0
235,K-buurt Zuidwest,1,0,0,0
236,KNSM-eiland,3,0,0,0
237,Kadijken,8,15,6,9
238,Kadoelen,1,24,2,22
239,Kalverdriehoek,2,19,10,9
240,Kantershof,8,9,7,2
241,Kattenburg,1,17,7,10
242,Kazernebuurt,1,14,8,6
243,Kelbergen,2,9,3,6
244,Kermisterrein,3,4,2,2
245,Kolenkitbuurt Noord,10,12,10,2
246,Kolenkitbuurt Zuid,2,6,3,3
247,Koningin Wilhelminaplein,3,0,0,0
248,Kop Zeedijk,3,51,27,24
249,Kop Zuidas,0,0,0,0
250,Kortenaerkwartier,5,53,24,29
251,Kortvoort,5,25,13,12
252,Kromme Mijdrechtbuurt,8,8,1,7
253,L-buurt,4,23,12,11
254,Laan van Spartaan,2,1,0,1
255,Landelijk gebied Driemond,0,0,0,0
256,Landlust Noord,24,10,4,6
257,Landlust Zuid,7,16,7,9
258,Langestraat e.o.,7,37,26,11
259,Lastage,1,8,7,1
260,Leeuwenveld,0,0,0,0
261,Legmeerpleinbuurt,2,0,0,0
262,Leidsebuurt Noordoost,6,47,18,29
263,Leidsebuurt Noordwest,2,34,14,20
264,Leidsebuurt Zuidoost,0,32,22,10
265,Leidsebuurt Zuidwest,2,78,34,44
266,Leidsegracht Noord,4,53,22,31
267,Leidsegracht Zuid,8,62,37,25
268,Leliegracht e.o.,3,62,41,21
269,Linnaeusparkbuurt,3,0,0,0
270,Lizzy Ansinghbuurt,3,52,21,31
271,Loenermark,4,17,3,14
272,Lootsbuurt,3,0,0,0
273,Louis Chrispijnbuurt,8,0,0,0
274,Lucas/Andreasziekenhuis e.o.,0,0,0,0
275,Marathonbuurt Oost,5,14,5,9
276,Marathonbuurt West,7,9,3,6
277,Marcanti,3,4,2,2
278,Marine-Etablissement,0,0,0,0
279,Marjoleinterrein,0,0,0,0
280,Markengouw Midden,12,7,2,5
281,Markengouw Noord,0,0,0,0
282,Markengouw Zuid,1,2,1,1
283,Markthallen,0,0,0,0
284,Marnixbuurt Midden,0,0,0,0
285,Marnixbuurt Noord,7,0,0,0
286,Marnixbuurt Zuid,1,35,24,11
287,Medisch Centrum Slotervaart,3,0,0,0
288,Meer en Oever,6,0,0,0
289,Mercatorpark,0,11,8,3
290,Middelveldsche Akerpolder,4,0,0,0
291,Middeneiland Zuidoost,0,0,0,0
292,Middeneiland Zuidwest,0,0,0,0
293,Middenmeer Noord,5,0,0,0
294,Middenmeer Zuid,5,0,0,0
295,Minervabuurt Midden,5,20,5,15
296,Minervabuurt Noord,4,14,5,9
297,Minervabuurt Zuid,4,4,0,4
298,Molenwijk,12,25,3,22
299,Museumplein,3,1,0,1
300,NDSM terrein,1,24,3,21
301,Nelson Mandelapark,1,0,0,0
302,Nes e.o.,5,73,40,33
303,Nieuw Sloten Noordoost,0,0,0,0
304,Nieuw Sloten Noordwest,1,0,0,0
305,Nieuw Sloten Zuidoost,1,0,0,0
306,Nieuw Sloten Zuidwest,2,0,0,0
307,Nieuwe Diep/Diemerpark,1,0,0,0
308,Nieuwe Kerk e.o.,5,100,58,42
309,Nieuwe Meer,2,0,0,0
310,Nieuwe Oosterbegraafplaats,0,0,0,0
311,Nieuwendam Noordwest Noord,8,27,4,23
312,Nieuwendam Noordwest Zuid,11,22,11,11
313,Nieuwendammerdijk Oost,0,14,2,12
314,Nieuwendammerdijk West,3,2,1,1
315,Nieuwendijk Noord,5,32,18,14
316,Nieuwmarkt,3,25,12,13
317,Nintemanterrein,0,0,0,0
318,Nintermanterrein,0,0,0,0
319,Noorder IJplas,0,0,0,0
320,Noorderstrook Oost,0,7,2,5
321,Noordoever Sloterplas,7,0,0,0
322,Noordoostkwadrant Indische buurt,11,0,0,0
323,Noordwestkwadrant Indische buurt Noord,12,0,0,0
324,Noordwestkwadrant Indische buurt Zuid,15,0,0,0
325,Olympisch Stadion e.o.,10,11,1,10
326,Ookmeer,0,0,0,0
327,Oostelijke Handelskade,3,0,0,0
328,Oostelijke Vechtoever,0,0,0,0
329,Oostenburg,8,18,10,8
330,Oosterdokseiland,5,7,3,4
331,Oosterpark,3,0,0,0
332,Oosterparkbuurt Noordwest,8,0,0,0
333,Oosterparkbuurt Zuidoost,8,0,0,0
334,Oosterparkbuurt Zuidwest,5,0,0,0
335,Oostoever Sloterplas,3,0,0,0
336,Oostpoort,3,0,0,0
337,Oostzanerdijk,0,19,3,16
338,Orteliusbuurt Midden,5,1,1,0
339,Orteliusbuurt Noord,4,0,0,0
340,Orteliusbuurt Zuid,4,9,3,6
341,Osdorp Midden Noord,3,0,0,0
342,Osdorp Midden Zuid,12,0,0,0
343,Osdorp Zuidoost,6,0,0,0
344,Osdorper Binnenpolder,3,0,0,0
345,Osdorper Bovenpolder,1,0,0,0
346,Osdorpplein e.o.,12,0,0,0
347,Oude Kerk e.o.,8,107,55,52
348,Overamstel,0,0,0,0
349,Overbraker Binnenpolder,0,0,0,0
350,Overhoeks,2,4,2,2
351,Overtoomse Veld Noord,16,0,0,0
352,Overtoomse Veld Zuid,5,0,0,0
353,Overtoomse veld Zuid,5,0,0,0
354,P.C. Hooftbuurt,1,99,28,71
355,Papaverweg e.o.,4,11,3,8
356,Paramariboplein e.o.,9,17,10,7
357,Park Haagseweg,0,0,0,0
358,Park de Meer,5,0,0,0
359,Parooldriehoek,2,0,0,0
360,Passeerdersgrachtbuurt,2,6,4,2
361,Petroleumhaven,2,0,0,0
362,Pieter van Doesburgbuurt,4,16,7,9
363,Pieter van der Doesbuurt,4,16,7,9
364,Plan van Gool,11,26,7,19
365,Planciusbuurt,1,10,5,5
366,Planciusbuurt Noord,0,10,5,5
367,Planciusbuurt Zuid,1,0,0,0
368,Polderweggebied,3,0,0,0
369,Poolbuurt Oost,1,0,0,0
370,Poolbuurt West,1,2,1,1
371,Postjeskade e.o.,4,16,10,6
372,Prinses Irenebuurt,1,0,0,0
373,RAI,1,0,0,0
374,RI Oost terrein,0,0,0,0
375,Rai,1,0,0,0
376,Ransdorp,1,10,5,5
377,Rapenburg,3,15,4,11
378,Rechte H-buurt,13,3,0,3
379,Reguliersbuurt,10,32,21,11
380,Reigersbos Midden,6,0,0,0
381,Reigersbos Noord,10,16,9,7
382,Reigersbos Zuid,2,0,0,0
383,Rembrandtpark Noord,2,0,0,0
384,Rembrandtpark Zuid,1,0,0,0
385,Rembrandtpleinbuurt,4,99,51,48
386,Riekerhaven,0,0,0,0
387,Riekerpolder,0,0,0,0
388,Rieteiland Oost,0,0,0,0
389,Rietlanden,6,0,0,0
390,Rijnbuurt Midden,3,6,0,6
391,Rijnbuurt Oost,3,15,4,11
392,Rijnbuurt West,5,5,1,4
393,Robert Scottbuurt Oost,2,0,0,0
394,Robert Scottbuurt West,1,2,1,1
395,Rode Kruisbuurt,1,16,8,8
396,Sarphatiparkbuurt,13,33,5,28
397,Sarphatistrook,5,57,25,32
398,Scheepvaarthuisbuurt,3,41,29,12
399,Scheldebuurt Midden,6,10,2,8
400,Scheldebuurt Oost,5,19,5,14
401,Scheldebuurt West,6,35,6,29
402,Schellingwoude Noord,0,2,0,2
403,Schellingwoude Oost,2,1,0,1
404,Schellingwoude West,0,12,2,10
405,Schildersbuurt Weesp,0,0,0,0
406,Schinkelbuurt Noord,5,29,4,25
407,Schinkelbuurt Zuid,5,9,1,8
408,Schipluidenbuurt,0,0,0,0
409,Science Park Noord,1,0,0,0
410,Science Park Zuid,2,0,0,0
411,Shell-terrein,2,4,2,2
412,Sloterdijk,1,8,4,4
413,Sloterdijk I,2,0,0,0
414,Sloterdijk II,0,0,0,0
415,Sloterdijk III Oost,0,0,0,0
416,Sloterdijk III West,0,0,0,0
417,Slotermeer Zuid,11,0,0,0
418,Sloterpark,0,0,0,0
419,Sloterweg e.o.,1,0,0,0
420,Spaarndammerbuurt Midden,4,16,2,14
421,Spaarndammerbuurt Noordoost,3,3,3,0
422,Spaarndammerbuurt Noordwest,6,18,10,8
423,Spaarndammerbuurt Zuidoost,0,9,4,5
424,Spaarndammerbuurt Zuidwest,2,7,6,1
425,Spiegelbuurt,8,25,13,12
426,Sporenburg,4,0,0,0
427,Sportpark Middenmeer Noord,0,0,0,0
428,Sportpark Middenmeer Zuid,1,0,0,0
429,Sportpark Voorland,0,0,0,0
430,Sportparkstad,2,1,0,1
431,Spuistraat Noord,4,72,39,33
432,Spuistraat Zuid,5,40,22,18
433,Staalmanbuurt,6,0,0,0
434,Staalmanpleinbuurt,6,0,0,0
435,Staatsliedenbuurt Noordoost,3,7,3,4
436,Stationsplein e.o.,0,0,0,0
437,Steigereiland Noord,2,0,0,0
438,Steigereiland Zuid,6,0,0,0
439,Surinamepleinbuurt,3,0,0,0
440,Swammerdambuurt,2,0,0,0
441,Teleport,4,0,0,0
442,Terrasdorp,3,14,5,9
443,Transvaalbuurt Oost,18,0,0,0
444,Transvaalbuurt West,4,0,0,0
445,Trompbuurt,9,27,7,20
446,Tuindorp Amstelstation,3,0,0,0
447,Tuindorp Frankendael,8,0,0,0
448,Tuindorp Nieuwendam Oost,2,0,0,0
449,Tuindorp Nieuwendam West,3,0,0,0
450,Tuindorp Oostzaan Oost,4,26,8,18
451,Tuindorp Oostzaan West,2,5,1,4
452,Twiske Oost,1,2,0,2
453,Twiske West,3,2,0,2
454,Uilenburg,3,32,18,14
455,Utrechtsebuurt Zuid,4,27,19,8
456,VU-kwartier,0,8,2,6
457,Valeriusbuurt Oost,4,1,1,0
458,Valeriusbuurt West,5,27,3,24
459,Valkenburg,4,35,10,25
460,Van Brakelkwartier,3,7,6,1
461,Van Loonbuurt,7,55,25,30
462,Van Tuyllbuurt,9,12,5,7
463,Van der Helstpleinbuurt,5,42,14,28
464,Van der Kunbuurt,1,0,0,0
465,Van der Pekbuurt,19,43,13,30
466,Veluwebuurt,2,15,4,11
467,Venserpolder Oost,9,3,1,2
468,Venserpolder West,24,21,18,3
469,Vervoerscentrum,4,0,0,0
470,Vivaldi,4,0,0,0
471,Vliegenbos,0,2,1,1
472,Vogelbuurt Noord,1,2,2,0
473,Vogelbuurt Zuid,5,38,6,32
474,Vogeltjeswei,0,3,1,2
475,Vondelpark Oost,0,6,1,5
476,Vondelpark West,0,0,0,0
477,Vondelparkbuurt Midden,3,13,10,3
478,Vondelparkbuurt Oost,3,78,32,46
479,Vondelparkbuurt West,4,36,17,19
480,WG-terrein,8,38,17,21
481,Walvisbuurt,1,17,4,13
482,Waterloopleinbuurt,5,26,13,13
483,Weesperbuurt,9,62,35,27
484,Weespersluis,0,0,0,0
485,Weespertrekvaart,2,0,0,0
486,Weesperzijde Midden/Zuid,6,0,0,0
487,Werengouw Midden,18,34,10,24
488,Werengouw Noord,1,0,0,0
489,Werengouw Zuid,1,0,0,0
490,Westelijke eilanden,11,22,10,12
491,Westerdokseiland,8,9,3,6
492,Westergasfabriek,0,38,12,26
493,Westerstaatsman,10,32,16,16
494,Westhaven Noord,1,0,0,0
495,Westhaven Zuid,2,0,0,0
496,Westlandgrachtbuurt,3,20,4,16
497,Weteringbuurt,6,37,17,20
498,Wielingenbuurt,5,0,0,0
499,Wildeman,20,0,0,0
500,Willemsparkbuurt Noord,2,55,13,42
501,Willibrordusbuurt,6,27,6,21
502,Wittenburg,8,15,11,4
503,Woon- en Groengebied Sloterdijk,1,8,4,4
504,Zaagpoortbuurt,6,5,3,2
505,Zamenhofstraat e.o.,3,1,0,1
506,Zeeburgerdijk Oost,0,0,0,0
507,Zeeburgereiland Noordoost,0,0,0,0
508,Zeeburgereiland Zuidoost,0,0,0,0
509,Zeeburgereiland Zuidwest,1,0,0,0
510,Zeeheldenbuurt,4,9,6,3
511,Zorgvlied,1,6,0,6
512,Zuid I Weesp,0,0,0,0
513,Zuid II Weesp,0,0,0,0
514,Zuidas Noord,3,0,0,0
515,Zuidas Zuid,6,0,0,0
516,Zuiderhof,1,0,0,0
517,Zuiderkerkbuurt,3,25,16,9
518,Zuidoostkwadrant Indische buurt,5,0,0,0
519,Zuidwestkadrant Indische buurt,4,0,0,0
520,Zuidwestkwadrant Indische buurt,4,0,0,0
521,Zuidwestkwadrant Osdorp Noord,7,0,0,0
522,Zuidwestkwadrant Osdorp Zuid,12,0,0,0
523,Zunderdorp,0,29,4,25
524,Zwarte Gouw,0,0,0,0
525,de Plantage,8,105,56,49
