,buurtnaam,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect
451,Wielingenbuurt,0.0,1.0,121035.56639368006,484370.3919960501,4.888758575345622,52.34619529610928,1142.0,1326.0,2423.0,151.0,2256.0,7,1519,1466,0,1,0,1,0,0,2
452,Wildeman,5.0,1.0,115053.43792489712,486258.9723288752,4.8007475392524,52.36276607860768,757.0,879.0,1581.0,119.0,1340.0,2568,2681,2621,0,0,1,1,0,0,2
453,Willemsparkbuurt Noord,2.0,0.0,119069.23057900318,485207.2693753977,4.859813389088017,52.353591476924706,1441.0,1674.0,3114.0,1390.0,8933.0,16,943,687,0,1,1,0,0,0,2
454,Willibrordusbuurt,45.0,0.0,122087.1969209587,485241.9781417644,4.904106016736359,52.354092527781745,761.0,883.0,1711.0,568.0,4895.0,57,1960,1818,37,0,1,1,1,1,4
455,Wittenburg,28.0,2.0,123313.15919799138,487177.4779777618,4.921917936420373,52.37155958083931,756.0,876.0,1793.0,323.0,1634.0,39,1392,1312,22,0,1,1,1,1,4
456,Woon- en Groengebied Sloterdijk,6.0,0.0,118531.7841300813,488789.0401595529,4.85153646620935,52.385746355721544,339.0,394.0,509.0,0.0,409.0,100,234,940,4,0,1,0,1,1,3
457,Zaagpoortbuurt,1.0,1.0,120296.18747319035,487705.5788847185,4.877564056072385,52.37612341595174,570.0,661.0,1458.0,0.0,12.0,5,746,729,0,0,0,0,0,0,0
458,Zamenhofstraat e.o.,97.0,0.0,123866.02115841584,488764.8941287128,4.929888718514851,52.38585783,158.0,183.0,348.0,4616.0,31342.0,1,101,0,97,0,0,0,1,1,2
459,Zeeburgerdijk Oost,6.0,1.0,125200.73872897196,486569.0665841121,4.949688052289719,52.36619723065421,729.0,844.0,2378.0,0.0,164.0,0,212,197,5,0,0,0,1,1,2
460,Zeeburgereiland Noordoost,5.0,1.0,126927.46299999999,487019.8652222223,4.975001714444444,52.37033968666666,0.0,0.0,230.0,0.0,44006.0,0,0,0,5,0,0,0,1,1,2
461,Zeeburgereiland Noordwest,3.0,0.0,125720.99291666667,487831.35150000005,4.9572163575,52.377569835,973.0,1127.0,2520.0,0.0,15737.0,0,8,0,2,0,0,0,1,1,2
462,Zeeburgereiland Zuidoost,2.0,0.0,126268.22944319775,486958.84338429174,4.965327357012623,52.36975719886396,354.0,411.0,886.0,0.0,33126.0,1,451,704,2,0,0,0,1,1,2
463,Zeeburgereiland Zuidwest,30.0,0.0,125916.64281954887,487093.3000300752,4.96015341,52.37094710255639,556.0,647.0,1487.0,0.0,12906.0,0,86,83,30,0,0,0,1,1,2
464,Zeeheldenbuurt,15.0,1.0,121001.29255227657,489158.7976424957,4.887771362698145,52.38922798424958,749.0,870.0,1603.0,1080.0,2954.0,169,1104,991,11,0,1,0,1,1,3
465,Zorgvlied,0.0,0.0,121950.6518888889,483077.5588888889,4.902314393888889,52.33463192333333,3013.0,3496.0,4742.0,19491.0,31360.0,3,18,14,0,1,0,0,0,0,1
466,Zuidas Noord,3.0,4.0,119808.6353070707,483745.7985191919,4.8708186558383835,52.34050457315152,3.0,4.0,457.0,9621.0,35348.0,108,193,176,2,1,1,0,1,1,4
467,Zuidas Zuid,4.0,1.0,119923.43415257629,483287.91089794895,4.872550860755378,52.33639681472736,3.0,3.0,2695.0,0.0,45204.0,0,577,1576,2,0,0,1,1,1,3
468,Zuiderhof,19.0,0.0,118797.47176086958,483104.1893913044,4.85605082673913,52.33467266847826,0.0,0.0,0.0,1561.0,12847.0,4,5,0,19,0,0,0,1,1,2
469,Zuiderkerkbuurt,38.0,0.0,121745.97249131121,486963.08183649293,4.898927485884676,52.369540087496055,958.0,1112.0,1900.0,949.0,5756.0,70,1250,1013,24,0,1,1,1,1,4
470,Zuidoostkwadrant Indische buurt,2.0,1.0,124738.4525490949,485946.8548979704,4.94295690993966,52.36057992929786,760.0,882.0,1860.0,41.0,892.0,30,1815,1696,0,0,1,1,0,0,2
471,Zuidwestkwadrant Indische buurt,14.0,1.0,124347.54547458456,485860.2480381231,4.937226333264907,52.35977988251222,782.0,906.0,1857.0,554.0,2534.0,0,2028,1819,10,0,0,1,1,1,3
472,Zuidwestkwadrant Osdorp Noord,9.0,0.0,114680.70851461988,485444.26791739766,4.795373450796784,52.35541694301901,710.0,823.0,2256.0,129.0,5753.0,347,1363,1295,9,0,1,1,1,1,4
473,Zuidwestkwadrant Osdorp Zuid,6.0,0.0,114829.99013041839,484998.73452318134,4.797617774832265,52.351423769721066,692.0,803.0,2432.0,444.0,5691.0,313,2576,2549,5,0,1,1,1,1,4
474,Zunderdorp,9.0,2.0,126429.34613852814,491425.69449783553,4.967313268571428,52.40991046606061,1461.0,1696.0,3432.0,0.0,7911.0,58,225,182,7,1,1,0,1,1,4
475,Zwarte Gouw,0.0,0.0,127337.10600000001,488663.4132941176,4.980881317941176,52.38513167382353,819.0,951.0,1958.0,0.0,34936.0,16,32,32,0,0,1,0,0,0,1
476,de Plantage,15.0,1.0,122698.90454971502,486568.5495066498,4.912956972685244,52.366051154103864,983.0,1142.0,2138.0,3238.0,22582.0,12,1567,1415,7,0,1,1,1,1,4
